動詞,,意味カテゴリ,主語,述語補足,ヲ格（対格）,タイプ,必須？,ニ格（与格）,タイプ,必須？,例文,例文補足,その他格助詞,メモ,シノニム,アントニム
理解する,りかいする,,"


",,"理由/思想 [1]
影響範囲 [2]

もの,運転者 [4]","


",T,"


",,F,"[1] [号口開発部署]・要求の理由/思想を理解した仕様開発・他システムを意識した仕様開発・問題発生時に要求に立ち戻った対策検討[評価部署]要求に基づいた抜けのない評価実施[仕入先]思想理解によるハード/ソフト品質向上
[2] ・既存機能を把握しながら効率的な機能開発（F）・機能追加時の影響範囲を理解してスムーズな号口移行を促進（F、D）
[3] 社会受容性の確保ASV技術を搭載した自動車は、他の自動車や歩行者などと一緒に走行するため、社会から正しく理解され、受け入れられるよう配慮する。
[4] LKAシステムは音，表示，触覚を用いた手段のうち少なくとも２つ以上を用いて、運転者が容易に理解できるものであること。","


","ニ,カラ [1]
ニ,カラ [2]
カラ [3]
ニ,カラ [4]",,,
周知する,しゅうちする,,"
",,"
","
",T,"使用者 [1]
使用者 [2]",,ー,"[1] 取扱説明書，コーションラベルなどにより使用者に対し適切に周知されること。
[2] 以下について、取扱説明書，コーションラベルなどにより使用者に対し適切に周知されること。","
","カラ [1]
カラ [2]",,,
動く,うごく,,"
ハンドル [2]
ハンドル [3]
位置 [4]
LKA [5]",自動詞,"



","



",F,"



",,F,"[1] LKAシステムは、安定的に作動すること（意図しない動きはしないこと）。
[2] 大きな値が出力されるとFB制御出力によりハンドルが動く。
[3] 大きな値が出力されるとFB制御出力によりハンドルが動く。
[4] 白線候補の位置が固着して動かない場合、逸脱判定されない。
[5] 今後はユーザー要望と他社動向により、ACCが動作しなくてもLKAが動くように変わる可能性がある。","



","
ニ,カラ [2]
ニ,カラ [3]
ニ,カラ [4]
",,,止まる
有す,ゆうす,,"
",,"機能 [1]
スイッチ [2]","
",T,"
",,ー,"[1] 装置は、当該装置の作動状況を監視する機能を有し、この機能により故障検知を行うものであること。
[2] 運転者の意思により当該装置の作動・非作動を選択できるスイッチを有し、運転者の意思によりスイッチ操作した場合にのみ作動すること。","
","
",,,
書く,かく,,"
",,"
＜補足＞ROM/RAM容量・CPU処理負荷 [2]","
",T,"
",,ー,"[1] ＜補足＞ROM/RAM容量・CPU処理負荷・CANバス負荷を書くべきであるが、システム要求の段階では書きづらい。
[2] ＜補足＞ROM/RAM容量・CPU処理負荷・CANバス負荷を書くべきであるが、システム要求の段階では書きづらい。","
","デ [1]
ニ,カラ [2]",,,
構成する,こうせいする,,ものとする,,それ,,T,,,ー,高度運転者支援ステアリングシステムを含む操舵機能のコントロールトランスミッションの一部を備えるかまたはそれを構成している、電子車両制御システムの安全面に対し、附則6　の要件を適用するものとすること。,,"ニ,カラ",,,
射する,いする,,"
",,"
","
",,"
",,,"[1] 陽射しが極端に強い場合を除き、操舵支援可能率が十分高いこと。
[2] 陽射しが極端に強い場合を除き、操舵支援可能率が十分高いこと。","
","ニ,カラ [1]
ニ,カラ [2]",「陽射し」は分解しない．この項目削除する,,
図る,はかる,,"

（LKA [3]",,"削減 [1]
低速化 [2]
軽減 [3]","

",T,"

",,ー,"[1] 交通事故による死亡・障害の防止および経済的損失の削減を図るため、自動車の安全性に関する調査の実施、情報の公開、安全規格の制定などを行う米国運輸省の部局。
[2] LKAに渋滞支援機能も織り込み、低速化を図ることで、車線逸脱による事故防止を目指す。
[3] [ID　:　LKA-15CY-NA-FR-OTL2001]レーンキーピングアシスト（LKA）は、運転者が現在の車線内を走行するために必要な操舵の一部をシステムが支援することにより、運転者の運転負担の軽減を図る機能である（図　42）。","

","ニ,カラ [1]
ニ,カラ [2]
ニ,カラ [3]",,,
混在する,こんざいする,,場所,自動詞,,,F,画像,,ー,画像上に路面照度が高い場所と低い場所が混在する場合の目標性能を表　86に示す。,,カラ,,,
比較する,ひかくする,,"関係者 [1]

",,"

","

",T,"

",,F,"[1] 商品性(F)：他社比較した商品力の位置づけ見える化、機能・性能目標の関係者間での共有
[2] [Z/企画部署]・他社比較したシステムの位置づけが分かる・システムの嬉しさが容易に理解
[3] システムの概要と他社比較したシステムの位置づけ理解(F)","

","ニ,カラ [1]
ニ,カラ [2]
ニ,カラ [3]",,,
追加する,ついかする,,"ステアリング [1]
ステアリング [2]
",,"

保護機能 [3]","

",T,"

",,ー,"[1] Benz2013年発売のE-Classは、車線維持支援機能（制御方式はステアリング）が新規追加され、常時車線中央を追従する。
[2] BMW先行開発中（2013年時点）のX5は、車線維持支援機能（制御方式はステアリング）が新規追加され、常時車線中央を追従する。
[3] 危険な状態になる可能性が残るときは、該当部品に対して異常監視、保護機能を追加する。","

","ニ,カラ [1]
ニ,カラ [2]
ニ,カラ [3]",,,削除する
明確だ,めいかくだ,,,自動詞,思想/検討経緯,,F,,,F,・思想/検討経緯を明確化してノウハウを社内蓄積（Q）・設計時の変更箇所特定や影響範囲見積りに活用（Q、D）・ソフト/ハードに関わる関係部署への説明資料として活用（Q）,,"ニ,カラ",,,
考える,かんがえる,,"
スリップサイン [2]",,"方向性 [1]
) [2]","
",T,"
",,F,"[1] そのために、他社ベンチマーク（3章）で機能/性能面の方向性を考え、LKAの頭出し車種（740A）における性能目標を5章に示す。
[2] 通常の車両の使用範囲内でのタイヤの変更、磨耗(新品からスリップサインまで)を考えて設計すること。","
","ニ,デ,カラ [1]
ニ [2]",,,
定まる,さだまる,,スタンダード,自動詞,,,F,,,ー,なお、現時点で“車線走行支援システム”は世の中でスタンダードが定まっていない状態である。,,"ニ,デ,カラ",,,
満足する,まんぞくする,,"



信頼性 [5]
信頼性 [6]
",自動詞,"性能 [1]

条件 [3]
条件 [4]
TS [5]
基準 [6]
リアルタイム性 [7]","





",F,"





",,ー,"[1] ヘッドライト点灯時のカメラに対する入射光量は、以下の最悪条件を考慮し、所定の性能を満足すること。
[2] ・FOE走行学習後に満足できれば可。
[3] 下記の条件を全て満足する場合に、操舵支援可能率が十分高いこと（晴天時と同様の性能を出せること）。
[4] また条件を満足しない場合も含めて、誤操舵支援率が十分低いこと。
[5] 電源や静電気などに対するハードウェアの信頼性は、TSを満足させる。
[6] ノイズに対するハードウェアの信頼性はTSで定められた基準を満足させる。
[7] リアルタイム性を満足させる。","





","カラ [1]

ニ,カラ [3]
ニ,カラ [4]
ニ,カラ [5]
ニ,カラ [6]
ニ,カラ [7]",,,
監視する,かんしする,,,,作動状況,,T,,,F,装置は、当該装置の作動状況を監視する機能を有し、この機能により故障検知を行うものであること。,,"ニ,カラ",,,
誤解する,ごかいする,,,,機能限界,,T,,,ー,装置の機能限界を誤解されないよう注意すること。,,ニ,,,
ぶれる,ぶれる,,画像,自動詞,,,F,,,ー,画像ぶれ　Image　Blurring　Robust　Performance,,"ニ,カラ",,,
検出する,けんしゅつする,,"

行って [3]




（R [8]
行って [9]


",,"レーンマーカー [1]
左右ウインカー操作状態 [2]

ヨー角 [4]
操舵トルク [5]
操舵角 [6]
車輪速 [7]


故障 [10]
レーンチェンジ [11]
横断歩道パターン [12]","










",T,"










",,ー,"[1] 前方道路映像を取得し、画像処理を行うことで走行車線上にあるレーンマーカーを検出する。
[2] ドライバーの左右ウインカー操作状態を検出する。
[3] ドライバーが加速操作を行っているか検出する。
[4] 自車のヨーレートやヨー角を検出する。
[5] ステアリングACTに付加している操舵トルクを検出する。
[6] ステアリングの操舵角を検出する。
[7] 自車の車輪速を検出する。
[8] 減速レンジ（S/B）や後進レンジ（R）であるか検出する。
[9] ドライバーが減速操作を行っているか検出する。
[10] 4.1章の表　41にある部品の故障を検出できること。
[11] 装置は、ドライバーによる意図的なレーンチェンジを検出した場合など車線維持支援不要と想定される状態においては、支援しなくても良い。
[12] 横断歩道パターンを検出した場合、認識条件を厳しくする。","










","ニ,デ,カラ [1]
ニ,カラ [2]
ニ [3]
ニ [4]
ニ [5]
ニ [6]
ニ [7]
ニ [8]
ニ [9]
ニ,カラ [10]
ニ [11]
ニ [12]",,,
映る,うつる,,先行車,自動詞,,,F,,,ー,先行車が映らないようにする。,,"ニ,カラ",,,
あらゆる,あらゆる,,,,（2輪車,,,,,,・車間距離は、各地域における一般ドライバーの車間距離をほぼ全てカバーすること・車速は、LDW下限車速以上をカバーすること・先行車は、各地域で走りうる車両をほぼ全てカバーすること（2輪車を含む）・あらゆる時間帯をカバーすること。,,ニ,連体詞であり，述語としては立てない（連体詞は述語にならない）,,
取れる,とれる,,"
",,"内側線 [1]
内側線 [2]","
",T,"
",,ー,"[1] 複合線判定を行い、複合線の場合は、内側線がかすれても内側線を取れるようにする。
[2] 複合線判定を行い、複合線の場合は、内側線を取れるようにする。","
","ニ,カラ [1]
ニ,カラ [2]",,,
受け入れる,うけいれる,,"素地 [1]
",,"
","
",T,"
",,ー,"[1] 社会に受け入れられる素地の形成
[2] 社会受容性の確保ASV技術を搭載した自動車は、他の自動車や歩行者などと一緒に走行するため、社会から正しく理解され、受け入れられるよう配慮する。","
","ニ,カラ [1]
ニ,カラ [2]",,,
近づく,ちかづく,,システム,自動詞,,,F,,,ー,⇒東富士が17年ターゲットで自働運転に近づくシステムを開発中（図　21）。,,"ニ,カラ",,,離れる
組み付ける,くみつける,,"
",,"スイッチ [1]
","
",T,"
",,ー,"[1] センサやスイッチなど組み付け精度が必要な部品は、組み付け時に所定の精度がでていることが作業者に分かる仕組みになっている。
[2] 間違えて組み付けたときには間違えたことが分かる仕組みがある。","
","ニ [1]
ニ,カラ [2]",,,
巻き込む,まきこむ,,車両,,,,T,,,ー,後輪の接地摩擦力が遠心力に負け、車両が円の内側に巻き込まれる挙動を示すシャーシ特性を指す。,,"ニ,カラ",,,
管理する,かんりする,,"
",,"データ [1]
走行軌跡 [2]","
",T,"
",,ー,"[1] 本書の保管方法については、データはBBS2で管理し、原紙はシステム部署にて施錠可能なロッカーで保管すること。
[2] ※米国NCAP試験では、車両の走行軌跡を管理するためにパイロンが置かれる。","
","ニ,デ,カラ [1]
ニ,カラ [2]",,,
